Structure,Co,Fe,Ni,Temperature,a1,a2,a3,a,c,Orientation_x,Orientation_y,Orientation_z,NonConventional
DHCP,0.12,0.38,0.5,350,1.24035568607512,1.07417953386952,4.05100167072135,1.1572676099723198,4.05100167072135,1 1 0,-1 1 0,0 0 1,True
FCC,0.25,0.0,0.75,350,,,,,,,,,False
DHCP,0.25,0.5,0.25,100,1.24297329467383,1.07644644941316,4.05955078040469,1.159709872043495,4.05955078040469,1 1 0,-1 1 0,0 0 1,True
DHCP,0.25,0.5,0.25,550,1.26224864806301,1.09313939511515,4.1225040845741,1.17769402158908,4.1225040845741,1 1 0,-1 1 0,0 0 1,True
FCC,0.62,0.12,0.25,550,1.78267649674599,1.78267649674599,1.78267649674599,1.78267649674599,1.78267649674599,1 1 0,-1 1 0,0 0 1,True
FCC,0.62,0.12,0.25,100,1.77619684780905,1.77619684780905,1.77619684780905,1.77619684780905,1.77619684780905,1 1 0,-1 1 0,0 0 1,True
DHCP,0.0,0.0,1.0,100,,,,,,,,,False
DHCP,0.5,0.5,0.0,350,,,,,,,,,False
DHCP,0.0,0.0,1.0,550,,,,,,,,,False
FCC,0.5,0.0,0.5,100,,,,,,,,,False
FCC,0.5,0.0,0.5,550,,,,,,,,,False
HCP,0.25,0.25,0.5,100,1.25482520765221,1.0867105071359,2.04912956409599,1.170767857394055,2.04912956409599,1 1 0,-1 1 0,0 0 1,True
HCP,0.25,0.25,0.5,550,1.26443322285421,1.0950312923808,2.06481945292097,1.179732257617505,2.06481945292097,1 1 0,-1 1 0,0 0 1,True
HCP,0.0,0.75,0.25,350,,,,,,,,,False
DHCP,0.0,1.0,0.0,350,,,,,,,,,False
HCP,0.75,0.0,0.25,350,,,,,,,,,False
HCP,0.38,0.12,0.5,350,1.2578069055899,1.08929273329637,2.05399867682838,1.173549819443135,2.05399867682838,1 1 0,-1 1 0,0 0 1,True
DHCP,0.5,0.25,0.25,100,1.23937255898118,1.07332812083105,4.04779077763278,1.156350339906115,4.04779077763278,1 1 0,-1 1 0,0 0 1,True
DHCP,0.5,0.25,0.25,550,1.24982003729463,1.08237590245587,4.08191224180416,1.16609796987525,4.08191224180416,1 1 0,-1 1 0,0 0 1,True
FCC,0.75,0.25,0.0,550,,,,,,,,,False
FCC,0.75,0.25,0.0,100,,,,,,,,,False
DHCP,1.0,0.0,0.0,350,,,,,,,,,False
HCP,0.75,0.25,0.0,350,,,,,,,,,False
DHCP,0.12,0.62,0.25,350,1.24653560281377,1.07953149875847,4.07118527878975,1.16303355078612,4.07118527878975,1 1 0,-1 1 0,0 0 1,True
FCC,0.38,0.12,0.5,550,1.78124621663848,1.78124621663848,1.78124621663848,1.78124621663848,1.78124621663848,1 1 0,-1 1 0,0 0 1,True
FCC,0.38,0.12,0.5,100,1.77081374807635,1.77081374807635,1.77081374807635,1.77081374807635,1.77081374807635,1 1 0,-1 1 0,0 0 1,True
FCC,0.75,0.0,0.25,550,,,,,,,,,False
FCC,0.75,0.0,0.25,100,,,,,,,,,False
DHCP,0.38,0.38,0.25,100,1.23323114183136,1.06800949756411,4.02773290922113,1.150620319697735,4.02773290922113,1 1 0,-1 1 0,0 0 1,True
DHCP,0.38,0.38,0.25,550,1.24664959111965,1.07963021552715,4.0715575645966,1.1631399033234,4.0715575645966,1 1 0,-1 1 0,0 0 1,True
DHCP,0.0,0.5,0.5,550,,,,,,,,,False
DHCP,0.0,0.5,0.5,100,,,,,,,,,False
FCC,0.0,0.75,0.25,550,,,,,,,,,False
FCC,0.0,0.75,0.25,100,,,,,,,,,False
DHCP,0.0,0.25,0.75,350,,,,,,,,,False
FCC,0.25,0.25,0.5,350,1.77596439418188,1.77596439418188,1.77596439418188,1.77596439418188,1.77596439418188,1 1 0,-1 1 0,0 0 1,True
DHCP,0.25,0.75,0.0,100,,,,,,,,,False
DHCP,0.25,0.75,0.0,550,,,,,,,,,False
HCP,0.25,0.0,0.75,100,,,,,,,,,False
HCP,0.25,0.0,0.75,550,,,,,,,,,False
HCP,0.62,0.12,0.25,350,1.2618114263055,1.09276074996595,2.06053805915689,1.177286088135725,2.06053805915689,1 1 0,-1 1 0,0 0 1,True
HCP,0.5,0.0,0.5,350,,,,,,,,,False
DHCP,0.5,0.25,0.25,350,1.23864739423887,1.07270010974225,4.04542238958411,1.15567375199056,4.04542238958411,1 1 0,-1 1 0,0 0 1,True
DHCP,1.0,0.0,0.0,100,,,,,,,,,False
DHCP,1.0,0.0,0.0,550,,,,,,,,,False
FCC,0.75,0.25,0.0,350,,,,,,,,,False
HCP,0.75,0.0,0.25,100,,,,,,,,,False
HCP,0.75,0.0,0.25,550,,,,,,,,,False
HCP,0.38,0.12,0.5,100,1.25291510820425,1.08505631249017,2.04601037169753,1.16898571034721,2.04601037169753,1 1 0,-1 1 0,0 0 1,True
HCP,0.38,0.12,0.5,550,1.2618413235977,1.09278664178062,2.06058688143513,1.17731398268916,2.06058688143513,1 1 0,-1 1 0,0 0 1,True
HCP,0.25,0.25,0.5,350,1.25681406038684,1.0884329041285,2.05237736061176,1.17262348225767,2.05237736061176,1 1 0,-1 1 0,0 0 1,True
DHCP,0.0,1.0,0.0,550,,,,,,,,,False
DHCP,0.0,1.0,0.0,100,,,,,,,,,False
HCP,0.0,0.75,0.25,100,,,,,,,,,False
HCP,0.0,0.75,0.25,550,,,,,,,,,False
DHCP,0.12,0.38,0.5,100,1.23482444214627,1.06938933611262,4.03293662804975,1.152106889129445,4.03293662804975,1 1 0,-1 1 0,0 0 1,True
DHCP,0.12,0.38,0.5,550,1.24208626870427,1.07567826238973,4.05665375358836,1.1588822655470001,4.05665375358836,1 1 0,-1 1 0,0 0 1,True
DHCP,0.5,0.5,0.0,550,,,,,,,,,False
DHCP,0.5,0.5,0.0,100,,,,,,,,,False
DHCP,0.0,0.0,1.0,350,,,,,,,,,False
FCC,0.5,0.0,0.5,350,,,,,,,,,False
FCC,0.62,0.12,0.25,350,1.77634716143507,1.77634716143507,1.77634716143507,1.77634716143507,1.77634716143507,1 1 0,-1 1 0,0 0 1,True
FCC,0.25,0.0,0.75,550,,,,,,,,,False
FCC,0.25,0.0,0.75,100,,,,,,,,,False
DHCP,0.25,0.5,0.25,350,1.24673477384791,1.07970398593369,4.07183577138714,1.1632193798908,4.07183577138714,1 1 0,-1 1 0,0 0 1,True
HCP,0.5,0.0,0.5,550,,,,,,,,,False
HCP,0.5,0.0,0.5,100,,,,,,,,,False
HCP,0.62,0.12,0.25,100,1.25788664566516,1.08936179022725,2.05412889237119,1.173624217946205,2.05412889237119,1 1 0,-1 1 0,0 0 1,True
HCP,0.62,0.12,0.25,550,1.26681542672492,1.0970943414498,2.06870959184188,1.18195488408736,2.06870959184188,1 1 0,-1 1 0,0 0 1,True
HCP,0.25,0.0,0.75,350,,,,,,,,,False
FCC,0.0,0.75,0.25,350,,,,,,,,,False
DHCP,0.0,0.25,0.75,100,,,,,,,,,False
DHCP,0.0,0.25,0.75,550,,,,,,,,,False
FCC,0.25,0.25,0.5,550,1.78502292404108,1.78502292404108,1.78502292404108,1.78502292404108,1.78502292404108,1 1 0,-1 1 0,0 0 1,True
FCC,0.25,0.25,0.5,100,1.7714105497659,1.7714105497659,1.7714105497659,1.7714105497659,1.7714105497659,1 1 0,-1 1 0,0 0 1,True
DHCP,0.25,0.75,0.0,350,,,,,,,,,False
FCC,0.38,0.12,0.5,350,1.77858690259023,1.77858690259023,1.77858690259023,1.77858690259023,1.77858690259023,1 1 0,-1 1 0,0 0 1,True
DHCP,0.0,0.5,0.5,350,,,,,,,,,False
DHCP,0.38,0.38,0.25,350,1.24084000796951,1.0745989689337,4.05258346602843,1.157719488451605,4.05258346602843,1 1 0,-1 1 0,0 0 1,True
FCC,0.75,0.0,0.25,350,,,,,,,,,False
HCP,0.75,0.25,0.0,100,,,,,,,,,False
HCP,0.75,0.25,0.0,550,,,,,,,,,False
DHCP,0.12,0.62,0.25,100,1.24188798739074,1.07550654573508,4.0560061668182,1.15869726656291,4.0560061668182,1 1 0,-1 1 0,0 0 1,True
DHCP,0.12,0.62,0.25,550,1.25309224393431,1.08520971653235,4.09259926868937,1.16915098023333,4.09259926868937,1 1 0,-1 1 0,0 0 1,True
